playlist_id,nombre_playlist,creador,tipo,num_seguidores,fecha_creacion,genero_dominante
1,Indie Rock Español #1,editorial,editorial,1451,2023-02-07,pop
2,Electronic Dreams #2,4706,personal,149,2023-02-03,reggaeton
3,Indie Rock Español #3,4047,personal,105,2022-03-26,pop
4,Fiesta Total #4,editorial,personal,1839,2022-12-16,indie
5,Flamenco Moderno #5,1254,personal,27,2022-11-27,reggaeton
6,Reggaeton 24/7 #6,2184,colaborativa,80,2021-01-24,rock
7,R&B Vibes #7,1409,personal,75,2021-03-05,indie
8,Indie Rock Español #8,editorial,personal,284,2022-03-23,flamenco
9,Latin Hits #9,1820,editorial,15,2023-05-19,flamenco
10,Relax & Chill #10,1430,colaborativa,34,2021-12-28,latin
11,Relax & Chill #11,602,colaborativa,165,2021-01-12,latin
12,Electronic Dreams #12,editorial,personal,114,2021-07-07,electronica
13,Rock Alternativo #13,2027,personal,222,2023-04-25,latin
14,Reggaeton 24/7 #14,780,personal,8,2022-08-16,latin
15,Éxitos de los 90s #15,2135,editorial,33,2023-07-25,clasica
16,Lo Mejor de Hoy #16,editorial,personal,362,2023-04-14,r&b
17,Éxitos del Momento #17,4077,colaborativa,27,2023-10-02,flamenco
18,R&B Vibes #18,4266,personal,158,2023-07-16,flamenco
19,Fiesta Total #19,4554,personal,49,2023-06-26,r&b
20,Flamenco Moderno #20,1246,editorial,17,2021-09-22,electronica
21,Electronic Dreams #21,1441,personal,49,2023-11-07,pop
22,Metal Energy #22,1696,personal,30,2023-04-05,electronica
23,Electronic Dreams #23,3106,personal,143,2022-07-12,pop
24,Hip-Hop Urbano #24,editorial,editorial,435,2022-08-27,latin
25,Hip-Hop Urbano #25,3281,personal,43,2022-05-05,r&b
26,Vibes Nocturnas #26,621,colaborativa,94,2023-07-08,r&b
27,Metal Energy #27,1543,personal,159,2023-04-05,indie
28,Rock Alternativo #28,4372,editorial,80,2022-08-06,r&b
29,Lo Mejor de Hoy #29,editorial,personal,2741,2023-12-12,indie
30,Lo Mejor de Hoy #30,286,editorial,31,2022-06-30,reggaeton
31,Latin Hits #31,editorial,personal,1446,2023-10-09,electronica
32,Éxitos de los 90s #32,4120,personal,4,2022-05-22,latin
33,Relax & Chill #33,283,editorial,45,2022-02-10,clasica
34,Lo Mejor de Hoy #34,4198,personal,0,2023-03-26,flamenco
35,Fiesta Total #35,346,personal,15,2022-10-07,rap
36,Relax & Chill #36,2719,personal,54,2023-10-05,rock
37,Baladas Románticas #37,307,personal,9,2023-03-12,electronica
38,Rock Alternativo #38,2910,personal,11,2021-08-28,pop
39,Música para Trabajar #39,537,personal,3,2021-10-19,rap
40,Metal Energy #40,2447,personal,68,2021-07-13,indie
41,Éxitos del Momento #41,3523,personal,29,2023-03-04,pop
42,Éxitos del Momento #42,680,personal,109,2022-10-14,electronica
43,Metal Energy #43,editorial,colaborativa,449,2021-09-24,r&b
44,Indie Rock Español #44,2299,personal,28,2021-10-09,rap
45,Latin Hits #45,2944,personal,34,2022-04-04,clasica
46,Fiesta Total #46,3551,personal,98,2023-06-03,indie
47,Reggaeton 24/7 #47,1496,personal,17,2021-01-15,rock
48,Baladas Románticas #48,1976,personal,2,2023-12-30,electronica
49,Relax & Chill #49,editorial,colaborativa,986,2021-05-26,rock
50,Vibes Nocturnas #50,editorial,personal,1746,2022-06-24,pop
51,Vibes Nocturnas #51,1895,personal,40,2023-12-05,pop
52,Electronic Dreams #52,2771,personal,19,2022-03-31,rap
53,Hip-Hop Urbano #53,4137,personal,49,2021-07-31,electronica
54,R&B Vibes #54,3328,colaborativa,235,2022-06-28,electronica
55,Relax & Chill #55,1367,personal,42,2021-09-12,pop
56,Metal Energy #56,847,personal,18,2021-07-24,rap
57,Clásicos del Pop #57,editorial,editorial,279,2021-07-05,reggaeton
58,Clásicos del Pop #58,3661,colaborativa,316,2021-01-02,clasica
59,Éxitos del Momento #59,4265,personal,94,2021-03-04,clasica
60,Rock Alternativo #60,4100,colaborativa,16,2021-10-29,pop
61,Flamenco Moderno #61,33,personal,15,2022-01-10,electronica
62,Fiesta Total #62,editorial,colaborativa,1627,2022-02-20,flamenco
63,Relax & Chill #63,editorial,personal,4864,2023-09-19,rock
64,Reggaeton 24/7 #64,3208,colaborativa,31,2023-02-16,rap
65,Clásicos del Pop #65,2785,personal,12,2021-06-12,electronica
66,Indie Rock Español #66,editorial,personal,261,2022-08-07,flamenco
67,Fiesta Total #67,576,personal,79,2021-08-23,indie
68,Reggaeton 24/7 #68,3955,editorial,46,2022-11-15,electronica
69,Clásicos del Pop #69,1444,colaborativa,50,2023-12-23,latin
70,Baladas Románticas #70,editorial,personal,216,2021-08-23,electronica
71,Éxitos de los 90s #71,1966,personal,6,2023-12-14,pop
72,Música para Trabajar #72,825,colaborativa,0,2021-03-15,rock
73,Música para Trabajar #73,203,personal,123,2022-12-08,indie
74,Fiesta Total #74,511,personal,21,2023-11-22,electronica
75,Baladas Románticas #75,1931,personal,70,2023-03-18,latin
76,Rock Alternativo #76,2713,editorial,107,2023-09-14,clasica
77,Éxitos del Momento #77,3402,editorial,45,2023-01-26,indie
78,Flamenco Moderno #78,2090,colaborativa,27,2021-08-10,indie
79,Electronic Dreams #79,editorial,colaborativa,39,2021-04-03,r&b
80,Rock Alternativo #80,editorial,personal,411,2023-12-22,r&b
81,Latin Hits #81,4668,personal,19,2021-06-07,pop
82,Música para Trabajar #82,1492,colaborativa,41,2022-10-24,latin
83,Indie Rock Español #83,559,editorial,72,2022-07-31,reggaeton
84,Metal Energy #84,3377,personal,62,2021-01-09,r&b
85,Reggaeton 24/7 #85,1908,personal,101,2022-04-28,reggaeton
86,Baladas Románticas #86,401,personal,2,2021-08-12,rap
87,Éxitos de los 90s #87,1722,editorial,46,2021-04-26,rock
88,Lo Mejor de Hoy #88,2725,personal,10,2022-05-10,electronica
